"Carimbo de data/hora","Nome de usuário","Qual tipo de curso você está fazendo?","Em qual escola você estuda?","Você mora na mesma cidade da escola que você estuda?","Você tinha dificuldades para ir à sua escola antes da Pandemia?","Qual modalidade de ensino você está cursando durante a Pandemia?","Quando você ficou sabendo que teria ensino remoto, você já tinha ouvido falar nele anteriormente?","Quais eram suas expectativas?","Agora que você está vivenciando o ensino remoto, o que você está achando?","Quais tecnologias você usar para estudar remotamente?","Você está sentindo dificuldades em utilizar a tecnologias?","Quais são os desafios do ensino remoto para você?","Você está tendo algum problema de saúde por causa do tempo maior em frente ao computador ou celular?","Você acredita que o ensino remoto está no mesmo nível do ensino presencial?","Você gostaria de continuar utilizando essa tecnologia mesmo após a Pandemia?","Entre ensino Remoto e ensino Presencial, qual você prefere?","Quando você ficou sabendo que teria ensino EAD, você já tinha ouvido falar nele anteriormente?","Quais eram suas expectativas?","Agora que você está vivenciando o ensino EAD, o que você está achando?","Quais tecnologias você usa para seus estudos EAD?","Você está sentindo dificuldades em utilizar estas tecnologias?","Quais são os desafios do ensino EAD para você?","Você está tendo algum problema de saúde por causa do tempo maior em frente ao computador ou celular?","Você acredita que o ensino EAD está no mesmo nível do ensino presencial?","Você gostaria de continuar utilizando essa tecnologia mesmo após a Pandemia?","Entre ensino EAD e o ensino Presencial, qual você prefere?"
"2020/05/14 7:57:21 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Não","Achei que seria Ruim","Estou achando bom","Microsoft Teams","Não","Não consigo ter foco em casa","Não","Não","Talvez","Ensino Presencial","","","","","","","","","",""
"2020/05/14 8:23:46 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Talvez","Achava que seria bom","Estou achando bom","Microsoft Teams","Não","Não consigo me adaptar","Estou com dor de cabeça","Sim","Sim","Ensino Presencial","","","","","","","","","",""
"2020/05/14 8:39:31 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Sim","Eu achava que seria horrível","Estou achando Ruim","Microsoft Teams;WhatsApp","Não","Não consigo ter foco em casa;Não consigo me adaptar a esse modelo de ensino;Não generalizando mas alguns professores a aula piorou se comparado a antes da Pandemia, algumas aulas alguns Professores deixam mais dinâmica pois é do estilo deles serem assim. Deste modo a balança pesa para os dois lados (Aulas produtivas/legais e Aulas não produtivas/e chatas) quando ao quesito ensino/professor.","Estou com cansaço na visão;Estou com um estresse maior;Devido ao período maior na frente do PC e uso de Headset para aula, dor no ouvido tem aumentado também.","Tem suas vantagens e desvantagens no período ao qual vivemos agora, porém eu acredito estar mais fraco do que o presencial o ritmo está um pouco mais lento e travado devido as diversas condições de alunos.","Talvez","Ensino Presencial","","","","","","","","","",""
"2020/05/14 8:42:46 PM GMT-3","","Curso Superior","Fatec","Sim","Não tenho dificuldade","Ensino Remoto","Talvez","Eu achava que seria horrível","Eu não sei o que pensar","Microsoft Teams","As vezes","Não consigo me adaptar","Não","Falta convivência com as pessoas","Talvez","Ensino Presencial","","","","","","","","","",""
"2020/05/14 8:49:55 PM GMT-3","","Curso Superior","Fatec","Não","Dependo de transporte gratuito","Ensino Remoto","Não","Eu não sabia o que pensar","Estou achando bom","Microsoft Teams;WhatsApp","As vezes","Meu computador não é bom o suficiente para acompanhar as aulas e fazer as atividades","Não","em algumas matérias sim mas em outras tem seu rendimento maior","Em pasres está sendo melhor pois os professores estão conseguindo aproveitar mais pois nao ha interrupções como em sala de aula","Ensino Presencial","","","","","","","","","",""
"2020/05/14 9:01:28 PM GMT-3","","Curso Superior","FEA","Sim","Não tenho dificuldade","Ensino Remoto","Sim","Achava que seria bom","Estou achando horrível","Google Hangouts Meet","Não","Não consigo ter foco em casa;Não consigo me adaptar a esse modelo de ensino","Estou com um estresse maior","Não","Não","Ensino Presencial","","","","","","","","","",""
"2020/05/14 9:01:32 PM GMT-3","","Curso Superior","Fatec","Sim","Depende do dia ","Ensino Remoto","Não","Eu achava que seria horrível","Estou achando Excelente","Microsoft Teams;WhatsApp;TeamViewer","Não"," Ter todos em casa.","Não","As vezes está até melhor","Sim","Ensino Presencial","","","","","","","","","",""
"2020/05/14 9:02:58 PM GMT-3","","Ensino Médio","Etec","Sim","Não tenho dificuldade","Ensino EAD","","","","","","","","","","","Sim","Eu achava que seria horrível","Estou achando Horrível","Microsoft Teams;WhatsApp;Youtube","Não","Não consigo ter foco em casa;Não consigo me adaptar;Não consigo me adaptar a esse modelo de ensino","Não","Não","Não","Ensino Presencial"
"2020/05/14 9:06:02 PM GMT-3","","Curso pré-vestibular","Seb Thathi","Sim","Não tenho dificuldade","Ensino EAD","","","","","","","","","","","Sim","Eu não sabia o que pensar","Estou achando Ruim","Microsoft Teams;Plataforma Da escola;WhatsApp;Youtube","Não","Não consigo ter foco em casa;Não consigo me adaptar;Não consigo me adaptar a esse modelo de ensino","Estou com um estresse maior","Não","Apenas para complementos no estudo","Ensino Presencial"
"2020/05/14 9:08:29 PM GMT-3","","Curso Superior","FEA","Sim","Não tenho dificuldade","Ensino EAD","","","","","","","","","","","Sim","Achei que seria Ruim","Estou achando bom","Google Hangouts Meet;WhatsApp","As vezes","Não consigo ter foco em casa;Não consigo me adaptar a esse modelo de ensino","Não","Não","Não","Ensino Presencial"
"2020/05/14 9:20:07 PM GMT-3","","Curso Superior","Unisalesiano","Sim","Não tenho dificuldade","Ensino EAD","","","","","","","","","","","Sim","Eu achava que seria horrível","Estou achando Horrível","Google Hangouts Meet;Plataforma Da escola;Moodle;WhatsApp;Youtube","Não","Não consigo me adaptar a esse modelo de ensino","Não","Não","Não","Ensino Presencial"
